timestamp,distill_type,seed,epoch,train_loss,validation_loss,validation_accuracy,learning_rate,num_train_batches,epoch_time_sec,validation_accuracy_unknown
1763365714.6347983,hidden_state,3,2,804.6177777777777,3.358911830357143,0.4485714285714285,0.0001,3150,396.41755628585815,0.4485714285714285
1763366146.097232,hidden_state,4,0,858.433253968254,3.100831473214286,0.4057142857142857,0.0001,3150,396.9905776977539,0.4057142857142857
1763366542.920112,hidden_state,4,1,770.4687301587302,3.2453125,0.4485714285714285,0.0001,3150,396.82283067703247,0.4485714285714285
1763366937.965678,hidden_state,4,2,716.0341269841269,3.300658482142857,0.4085714285714286,0.0001,3150,395.04551815986633,0.4085714285714286
1763367369.6669817,hidden_state,5,0,862.3298412698413,3.423861607142857,0.3985714285714286,0.0001,3150,397.1477558612824,0.3985714285714286
1763367767.346146,hidden_state,5,1,774.5126984126985,3.3172154017857145,0.4385714285714285,0.0001,3150,397.6791138648987,0.4385714285714285
1763368166.779872,hidden_state,5,2,722.6036507936508,3.4073521205357142,0.45,0.0001,3150,399.4336738586426,0.45
1763368600.7218451,hidden_state,6,0,861.2622222222222,3.6205859375,0.3842857142857143,0.0001,3150,398.9017472267151,0.3842857142857143
1763368998.263394,hidden_state,6,1,775.3136507936508,3.787293526785714,0.3985714285714286,0.0001,3150,397.5414955615997,0.3985714285714286
1763369398.36346,hidden_state,6,2,724.9775396825397,3.688032924107143,0.4257142857142857,0.0001,3150,400.1000008583069,0.4257142857142857
1763369857.4011247,attention,0,0,860.0056225101531,4.196713169642857,0.3971428571428571,0.0001,3150,424.7252690792084,0.3971428571428571
1763370282.6486192,attention,0,1,780.0992055281382,4.178934151785715,0.4514285714285714,0.0001,3150,425.2474446296692,0.4514285714285714
1763370709.0171194,attention,0,2,729.3018263099307,3.974140625,0.4457142857142857,0.0001,3150,426.36845088005066,0.4457142857142857
1763371184.298685,attention,1,0,863.6894905865381,3.9039174107142856,0.39,0.0001,3150,440.9111831188202,0.39
1763371628.5291448,attention,1,1,776.1326911478194,3.856088169642857,0.4385714285714285,0.0001,3150,444.2304062843323,0.4385714285714285
1763372066.4311686,attention,1,2,726.2744455307248,3.931674107142857,0.43,0.0001,3150,437.90197014808655,0.43
1763372536.9289382,attention,2,0,862.1076781124539,3.49404296875,0.4485714285714285,0.0001,3150,435.4745533466339,0.4485714285714285
1763372986.2338097,attention,2,1,762.2757937161884,3.503565848214285,0.4442857142857143,0.0001,3150,449.30481934547424,0.4442857142857143
1763373424.749966,attention,2,2,702.4825384666806,3.422117745535714,0.4442857142857143,0.0001,3150,438.5161089897156,0.4442857142857143
1763373897.0497096,attention,3,0,892.9652034529429,3.6230189732142857,0.3657142857142857,0.0001,3150,437.3633542060852,0.3657142857142857
1763374336.2226255,attention,3,1,824.8779324692015,3.569497767857143,0.4028571428571428,0.0001,3150,439.1728601455689,0.4028571428571428
1763374775.4863465,attention,3,2,803.6190068054199,3.4466685267857144,0.3757142857142857,0.0001,3150,439.2636716365814,0.3757142857142857
1763375254.6553257,attention,4,0,855.6387186988952,3.1698716517857144,0.3971428571428571,0.0001,3150,443.0031280517578,0.3971428571428571
1763375696.472541,attention,4,1,765.877062161158,3.233744419642857,0.4357142857142857,0.0001,3150,441.8171555995941,0.4357142857142857
1763376147.199466,attention,4,2,712.3115084293911,3.283755580357143,0.3957142857142857,0.0001,3150,450.7268514633178,0.3957142857142857
1763376625.175058,attention,5,0,860.1017189776708,3.4614787946428573,0.3828571428571428,0.0001,3150,442.551319360733,0.3828571428571428
1763377067.8991327,attention,5,1,772.4819845387292,3.3124609375,0.4557142857142857,0.0001,3150,442.7240226268768,0.4557142857142857
1763377514.3068073,attention,5,2,717.9992894805424,3.3960658482142856,0.4414285714285714,0.0001,3150,446.4076187610626,0.4414285714285714
1763377990.954623,attention,6,0,863.8733276342967,3.551004464285714,0.4142857142857143,0.0001,3150,441.0736525058746,0.4142857142857143
1763378435.4751751,attention,6,1,776.8736602056595,3.668733258928572,0.3914285714285714,0.0001,3150,444.5204961299896,0.3914285714285714
1763378880.425414,attention,6,2,724.3846119205535,3.7095870535714286,0.4457142857142857,0.0001,3150,444.9501855373383,0.4457142857142857
1763379363.899712,combined,0,0,862.6628571428571,4.220474330357143,0.44,0.0001,3150,447.92933344841,0.44
1763379814.210908,combined,0,1,783.7257142857143,4.116830357142857,0.44,0.0001,3150,450.31114315986633,0.44
1763380262.217178,combined,0,2,736.7233333333334,4.022932477678571,0.4371428571428571,0.0001,3150,448.00621581077576,0.4371428571428571
1763380748.4289784,combined,1,0,858.4950793650794,4.048337053571428,0.39,0.0001,3150,450.5725374221802,0.39
1763381195.5429797,combined,1,1,770.5696031746032,3.8365066964285712,0.4271428571428571,0.0001,3150,447.11394572258,0.4271428571428571
1763381643.2357943,combined,1,2,718.4895238095238,3.921322544642857,0.42,0.0001,3150,447.6927628517151,0.42
1763382121.992797,combined,2,0,859.8370634920635,3.5041183035714285,0.3785714285714285,0.0001,3150,443.4346489906311,0.3785714285714285
1763382571.6654837,combined,2,1,767.5073809523809,3.4674162946428573,0.4371428571428571,0.0001,3150,449.6726105213165,0.4371428571428571
1763383019.4409783,combined,2,2,710.4584126984126,3.3771902901785715,0.4557142857142857,0.0001,3150,447.7754409313202,0.4557142857142857
1763383500.9025276,combined,3,0,897.1342063492064,3.448426339285714,0.42,0.0001,3150,445.8931605815888,0.42
1763383950.9366937,combined,3,1,828.6196825396826,3.535318080357143,0.4257142857142857,0.0001,3150,450.0341124534607,0.4257142857142857
1763384400.116974,combined,3,2,806.8603968253968,3.3711886160714286,0.4328571428571429,0.0001,3150,449.1802263259888,0.4328571428571429
1763384876.6057324,combined,4,0,855.3744444444444,3.2947935267857145,0.36,0.0001,3150,441.3677337169647,0.36
1763385316.3968244,combined,4,1,765.874126984127,3.2697879464285715,0.4357142857142857,0.0001,3150,439.79103565216064,0.4357142857142857
1763385754.5097997,combined,4,2,710.0165873015873,3.3428655133928573,0.38,0.0001,3150,438.1129276752472,0.38
1763386218.9848912,combined,5,0,857.2991269841269,3.416997767857143,0.43,0.0001,3150,429.9591097831726,0.43
1763386653.9249132,combined,5,1,768.1430952380953,3.362569754464286,0.4514285714285714,0.0001,3150,434.9399721622467,0.4514285714285714
1763387090.368482,combined,5,2,712.3087301587302,3.3670145089285715,0.4657142857142857,0.0001,3150,436.4435076713562,0.4657142857142857
1763387571.5755875,combined,6,0,925.4710317460316,3.892287946428572,0.3485714285714286,0.0001,3150,445.1662926673889,0.3485714285714286
1763388015.9661336,combined,6,1,833.5522222222222,3.848822544642857,0.3828571428571428,0.0001,3150,444.3904929161072,0.3828571428571428
1763388461.1873026,combined,6,2,814.2434920634921,3.709168526785714,0.3842857142857143,0.0001,3150,445.22111463546753,0.3842857142857143
1763394608.2797644,black_box,0,0,1093.415873015873,9.872321428571428,0.0,0.0001,315,182.34068393707275,0.0
1763394789.6500175,black_box,0,1,853.6349206349206,8.678571428571429,0.1871428571428571,0.0001,315,181.370201587677,0.1871428571428571
1763394973.020247,black_box,0,2,796.1936507936508,8.261160714285714,0.31,0.0001,315,183.37017798423767,0.31
1763395287.6121712,black_box,0,0,1093.415873015873,9.872321428571428,0.0,0.0001,315,179.0216314792633,0.0
1763395465.228659,black_box,0,1,853.6349206349206,8.678571428571429,0.1871428571428571,0.0001,315,177.61643743515015,0.1871428571428571
1763395647.863967,black_box,0,2,796.1936507936508,8.261160714285714,0.31,0.0001,315,182.6352572441101,0.31
1763396435.6570492,black_box,1,0,1193.142857142857,11.2375,0.0,0.0001,315,183.0333261489868,0.0
1763396615.9553552,black_box,1,1,891.6126984126984,9.139285714285714,0.36,0.0001,315,180.2982537746429,0.36
1763396797.7254505,black_box,1,2,857.9809523809524,8.901785714285714,0.0471428571428571,0.0001,315,181.7700290679932,0.0471428571428571
1763397494.6267045,black_box,2,0,1065.536507936508,9.048214285714286,0.0,0.0001,315,180.4516394138336,0.0
1763397675.0618172,black_box,2,1,841.0285714285715,8.744196428571428,0.2028571428571428,0.0001,315,180.4350624084473,0.2028571428571428
1763397859.2650504,black_box,2,2,780.5396825396825,8.426785714285714,0.2442857142857142,0.0001,315,184.20317912101743,0.2442857142857142
1763398964.8011937,black_box,2,0,1148.247619047619,9.9921875,0.0,0.0001,210,178.27203106880188,0.0
1763399140.946478,black_box,2,1,875.3047619047619,8.813802083333334,0.1771428571428571,0.0001,210,176.14522576332092,0.1771428571428571
1763399316.961607,black_box,2,2,819.9142857142857,7.865885416666667,0.2185714285714285,0.0001,210,176.01507377624512,0.2185714285714285
1763399673.2871916,black_box,3,0,1145.8190476190475,10.5703125,0.0,0.0001,210,177.33799529075625,0.0
1763399850.0377886,black_box,3,1,875.6095238095238,8.24609375,0.2742857142857143,0.0001,210,176.75054454803467,0.2742857142857143
1763400026.320844,black_box,3,2,820.2095238095238,8.61328125,0.3828571428571428,0.0001,210,176.28299832344055,0.3828571428571428
1763401018.494912,black_box,4,0,1312.7619047619048,11.619791666666666,0.0,0.0001,210,189.3451313972473,0.0
1763401209.603278,black_box,4,1,945.9333333333332,10.783854166666666,0.0,0.0001,210,191.10831117630005,0.0
1763401407.7367866,black_box,4,2,885.6190476190476,9.096354166666666,0.0,0.0001,210,198.13345551490784,0.0
1763404601.8143992,black_box,5,0,1166.1333333333334,10.1484375,0.0,0.0001,210,178.66345477104187,0.0
1763404779.866321,black_box,5,1,883.0380952380953,7.998697916666667,0.3371428571428571,0.0001,210,178.05186867713928,0.3371428571428571
1763404955.6764386,black_box,5,2,834.3428571428572,8.595052083333334,0.0514285714285714,0.0001,210,175.8100550174713,0.0514285714285714
1763417031.353166,black_box,6,0,1138.0190476190476,9.8046875,0.0,0.0001,210,174.84188079833984,0.0
1763417206.4758968,black_box,6,1,869.8,8.982096354166666,0.3228571428571428,0.0001,210,175.1226727962494,0.3228571428571428
1763417390.4869068,black_box,6,2,816.1428571428571,8.161458333333334,0.33,0.0001,210,184.0109510421753,0.33
1763418179.3210232,hidden_state,0,0,861.431507936508,4.191037946428572,0.43,0.0001,3150,401.2047526836395,0.43
1763418582.818082,hidden_state,0,1,783.3143650793651,4.169921875,0.4485714285714285,0.0001,3150,403.497008562088,0.4485714285714285
1763418984.1033115,hidden_state,0,2,733.1117460317461,4.0165178571428575,0.42,0.0001,3150,401.2851803302765,0.42
1763419965.1917777,hidden_state,1,0,858.5035714285714,4.213376116071428,0.3814285714285714,0.0001,3150,400.5920822620392,0.3814285714285714
1763420366.580262,hidden_state,1,1,775.8733333333333,3.9257645089285713,0.4171428571428571,0.0001,3150,401.3884310722351,0.4171428571428571
1763420765.5979638,hidden_state,1,2,722.6591269841269,3.859659598214286,0.42,0.0001,3150,399.0176503658295,0.42
1763421512.556103,hidden_state,2,0,858.4480158730158,3.5179575892857144,0.4114285714285714,0.0001,3150,403.19241189956665,0.4114285714285714
1763421916.337397,hidden_state,2,1,770.6881746031746,3.4547823660714285,0.42,0.0001,3150,403.7812411785126,0.42
1763422321.423294,hidden_state,2,2,713.085,3.4004073660714287,0.4542857142857143,0.0001,3150,405.0858461856842,0.4542857142857143
1763425595.1827838,hidden_state,3,0,900.0807142857143,3.637583705357143,0.44,0.0001,3150,406.1229493618012,0.44
1763425998.718635,hidden_state,3,1,824.5341269841269,3.4185100446428573,0.3857142857142857,0.0001,3150,403.5357949733734,0.3857142857142857
1763426402.2717023,hidden_state,3,2,804.6177777777777,3.358911830357143,0.4485714285714285,0.0001,3150,403.5530159473419,0.4485714285714285
1763427249.8494146,hidden_state,4,0,858.433253968254,3.100831473214286,0.4057142857142857,0.0001,3150,403.2933397293091,0.4057142857142857
1763427659.1582634,hidden_state,4,1,770.4687301587302,3.2453125,0.44857142857142857,0.0001,3150,409.3087832927704,0.44857142857142857
1763428059.326743,hidden_state,4,2,716.0341269841269,3.300658482142857,0.4085714285714286,0.0001,3150,400.1684339046478,0.4085714285714286
